Scenario,Condition,Persona,Pair ID,Display order,Question,Exact excerpt,Source prompt ID,Verbatim check,Review status,Reviewer type,Human review completed
High load,Baseline,Adaptive Generalist,high_load_high_acuity|9|4|adaptive_generalist|Nurse|12,1,Overall Experience,"The shift felt defined by a rhythmic oscillation between the nursing work area and the left patient rooms. I wasn't anchored to one spot; instead, I moved back and forth, letting the immediate context dictate whether I needed to coordinate with the team or focus on patient care.",appraisal_end_of_shift_interview_bundle_cbd4ab3950c382654b7a,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Adaptive Generalist,high_load_high_acuity|9|4|adaptive_generalist|Nurse|12,2,Critical Moments,"Two moments stood out. First, the missed opportunity with a nurse in the nursing work area when I was transitioning tasks; the lack of proximity meant a potential support link was lost.",appraisal_end_of_shift_interview_bundle_cbd4ab3950c382654b7a,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Adaptive Generalist,high_load_high_acuity|9|4|adaptive_generalist|Nurse|12,3,Counterfactual Change,"Introducing a semi-private coordination nook near the left patient rooms would best support my priorities. It would allow for quick, focused coordination without the need to travel back to the busy nursing work area, reducing travel time and maintaining better task continuity.",appraisal_end_of_shift_interview_bundle_cbd4ab3950c382654b7a,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Focus Protector,high_load_high_acuity|5|5|focus_protector|Nurse|13,1,Overall Experience,"The shift felt defined by a rhythm of rapid transitions between the nursing work area and the shared clinical circulation space. I maintained steady task continuity without significant interruption strain, but the environment required constant vigilance to catch colleagues in passing.",appraisal_end_of_shift_interview_bundle_d4932edf3c8a32531675,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Focus Protector,high_load_high_acuity|5|5|focus_protector|Nurse|13,2,Supportive Feature,"The shared clinical circulation area was the most supportive feature because it facilitated the majority of my necessary contacts, including patient updates and nurse coordination.",appraisal_end_of_shift_interview_bundle_d4932edf3c8a32531675,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Focus Protector,high_load_high_acuity|5|5|focus_protector|Nurse|13,3,Counterfactual Change,"Introducing semi-transparent partitions or visual markers in the shared clinical circulation area would improve colleague visibility without blocking movement. This would allow me to spot colleagues earlier and decide whether to engage, reducing the risk of missed opportunities like the one with the coordination nurse.",appraisal_end_of_shift_interview_bundle_d4932edf3c8a32531675,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Patient Advocate,high_load_high_acuity|9|1|patient_advocate|Nurse|13,1,Coordination And Focus,"The layout forced a trade-off: I could maintain strong task continuity in the patient rooms, but coordinating with others required leaving that focus to enter the circulation areas.",appraisal_end_of_shift_interview_bundle_d5d9d5b60cd8a2ff3f04,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Patient Advocate,high_load_high_acuity|9|1|patient_advocate|Nurse|13,2,Difficult Feature,"The nursing work area and the circulation zones created the greatest difficulty. While the circulation area was necessary for movement, the nursing work area often left me with no mutual visibility of colleagues for long periods, leading to missed opportunities for coordination.",appraisal_end_of_shift_interview_bundle_d5d9d5b60cd8a2ff3f04,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Patient Advocate,high_load_high_acuity|9|1|patient_advocate|Nurse|13,3,Counterfactual Change,"Introducing transparent partitions or a visual status board in the nursing work area would best support my priorities. It would allow me to maintain task focus while still being aware of colleague presence, enabling timely coordination without leaving my station.",appraisal_end_of_shift_interview_bundle_d5d9d5b60cd8a2ff3f04,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Team Connector,high_load_high_acuity|5|5|team_connector|Nurse|12,1,Overall Experience,"The shift felt like a series of short, sharp bursts of coordination followed by isolation. I spent most of my time shuttling between the left patient rooms and the nursing work area, but the physical layout made sustained shared awareness difficult.",appraisal_end_of_shift_interview_bundle_cbf7db48d08eb1d24a43,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Team Connector,high_load_high_acuity|5|5|team_connector|Nurse|12,2,Difficult Feature,"The nursing work area was the most difficult because, despite being a central hub, it offered limited visibility of colleagues. I often arrived there only to find no one visible, or to miss a contact because the colleague was in the middle of a transition.",appraisal_end_of_shift_interview_bundle_cbf7db48d08eb1d24a43,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Team Connector,high_load_high_acuity|5|5|team_connector|Nurse|12,3,Counterfactual Change,"I would introduce semi-transparent partitions or a more open configuration in the nursing work area to improve visibility without sacrificing all privacy. This would allow for quicker, less intrusive coordination checks.",appraisal_end_of_shift_interview_bundle_cbf7db48d08eb1d24a43,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Vigilant Monitor,high_load_high_acuity|4|1|vigilant_monitor|Doctor|22,1,Coordination And Focus,"The layout forces a trade-off where protecting focus often means sacrificing coordination. I could maintain task continuity, but the opaque partitions and dispersed stations meant that coordinating with others required deliberate, often interrupted, travel.",appraisal_end_of_shift_interview_bundle_ca7f5c97b1a5e420a578,True,retained_after_independent_audit,independent_model_assisted_audit,False
High load,Baseline,Vigilant Monitor,high_load_high_acuity|4|1|vigilant_monitor|Doctor|22,2,Supportive Feature,"The COCPIT coordination station was the most supportive feature. It provided a dedicated space for status updates and diagnostic discussions, as evidenced by the mutual visibility I had with a colleague there for 65 seconds.",appraisal_end_of_shift_interview_bundle_ca7f5c97b1a5e420a578,True,retained_after_independent_audit,independent_model_assisted_audit,False
